subject_id,group,trial_order,trial_type,duration_s,raw_samples,raw_median_hz,raw_path,hold_path,linear_path,hold_path_fraction,linear_path_fraction,hold_stationary_fraction,raw_stationary_fraction,clicks,unrepresented_tail_s,window_count
100,0,0,A,25.024250499904156,752,29.99949008161809,2.6669187281973725,2.6545473223328484,2.645960885147407,0.9953611612780993,0.992141551660957,0.604,0.6311584553928096,0,0.02425049990415573,21
100,0,1,B,25.00505180004984,751,30.002145194164605,3.6156366696323636,3.602621972753168,3.5976700223591,0.9964004411758223,0.9950308482530434,0.478,0.5066666666666667,0,0.005051800049841404,21
100,0,2,A,22.058913099579513,642,29.997420383795575,3.811813887268261,3.786329895289848,3.7920293334652317,0.9933144710806759,0.9948096747668843,0.38095238095238093,0.39469578783151327,0,0.008913099579512362,18
100,0,3,B,24.99444569973275,751,29.999085045385538,2.2101207288013347,2.150610529802377,2.158890376168935,0.9730737790820897,0.9768201112433417,0.6653306613226453,0.6933333333333334,0,0.044445699732751365,21
100,0,4,A,22.84380740020424,686,30.001379836482784,3.8408081617382877,3.8195289820434555,3.8147602431348933,0.9944597129565561,0.9932181151709474,0.5043859649122807,0.5313868613138686,0,0.043807400204240565,18
100,0,5,B,25.019020500127226,751,30.000885057296156,3.6691076577721944,3.6532476526761783,3.6525823865355656,0.9956774217124919,0.9954961061985674,0.58,0.596,0,0.019020500127226114,21
100,0,6,A,25.008252599742264,749,29.997645191367052,4.441930317165707,4.423568533536757,4.4157326559938745,0.9958662603152527,0.994102189971195,0.424,0.4505347593582888,0,0.008252599742263556,21
100,0,7,B,25.013536600396037,751,30.00084000197595,3.2204534541187444,3.2034999892818288,3.2000666509758458,0.9947356901509528,0.9936695861519671,0.436,0.46,0,0.013536600396037102,21
100,0,8,A,24.12172479974106,723,30.00183020241652,5.253038663425915,5.21908834520713,5.210267775304981,0.9935370134518211,0.9918578767716436,0.4024896265560166,0.4265927977839335,3,0.02172479974105812,20
100,0,9,B,23.26086869975552,699,29.99949008161809,4.5176578202706565,4.506712933911562,4.494425939736505,0.9975773095717907,0.994857538694075,0.35053763440860214,0.3868194842406877,0,0.010868699755519629,19
100,0,10,A,17.39296230021864,523,30.000030077092703,4.153297528380632,4.120536853771682,4.129245479481146,0.99211212912509,0.9942089270669555,0.33429394812680113,0.35823754789272033,0,0.04296230021864034,13
100,0,11,B,24.99483729992062,751,30.00030018689596,3.9493912594243277,3.9346193698131104,3.921792215878817,0.9962597046884206,0.9930118234095819,0.501002004008016,0.532,0,0.044837299920619245,21
100,0,12,A,25.000052500050515,751,30.001470160069577,4.68317512676207,4.668726399068168,4.659956812301321,0.9969147581922927,0.9950421853054208,0.412,0.44533333333333336,0,5.250005051493645e-05,21
100,0,13,B,21.26977160014212,640,29.999220195938936,3.9083116272775333,3.8646253139309565,3.872045229527309,0.9888222031626971,0.9907206995734148,0.44941176470588234,0.48043818466353677,0,0.019771600142121315,17
100,0,14,A,21.62871350022033,650,30.000210079904264,4.124059145889939,4.097172027275156,4.09098720968162,0.9934804236157527,0.9919807318376413,0.47453703703703703,0.5038520801232665,1,0.02871350022032715,17
